alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 112, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 87, 33, 0.969696969697, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 78, 42, 0.904761904762, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 97, 23, 0.95652173913, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 97, 23, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 97, 23, 0.95652173913, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 103, 17, 0.941176470588, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 95, 25, 0.88, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 97, 23, 0.913043478261, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 88, 32, 0.90625, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 83, 37, 0.945945945946, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 90, 30, 0.966666666667, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 95, 25, 0.88, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 104, 16, 0.875, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 105, 15, 0.933333333333, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 95, 25, 0.92, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 101, 19, 0.894736842105, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 96, 24, 0.791666666667, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 93, 27, 0.962962962963, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 92, 28, 0.928571428571, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 92, 28, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 100, 20, 0.95, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 72, 48, 0.979166666667, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 109, 11, 0.818181818182, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 88, 32, 0.84375, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 102, 18, 0.944444444444, 0, 0.0
0.1, 99, 112, 0.941666666667, 120, 7, 80, 40, 0.825, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 91, 29, 0.827586206897, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 113, 7, 0.857142857143, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 99, 21, 0.904761904762, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 100, 20, 0.9, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 80, 40, 0.95, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 90, 30, 0.9, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 96, 24, 0.875, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 103, 17, 0.941176470588, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 93, 27, 0.925925925926, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 88, 32, 0.96875, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 99, 21, 0.904761904762, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 102, 18, 0.944444444444, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 101, 19, 0.947368421053, 0, 0.0
